,country,x0,start,end,kappa,alpha,beta,error
0,276,0.3192244182701865,2011,2013,0.17150041386017753,-0.16949868307177451,-0.9522530974930784,6.382457851117351e-08
0,56,0.5455181685889727,1961,2013,0.20161738745203864,-0.8298291234904329,-0.3368220284537665,0.033575767521498094
0,108,0.08666766118958502,1991,2013,0.13052781395711446,-0.6506274174556471,-0.9999989739626616,0.008062585149789884
0,221,0.24448686992010804,1991,2013,0.9999999929596232,-0.9229359928406948,-0.12887596581551294,0.02253238379875341
0,237,0.39013582924708856,1961,2013,0.01,-1.0,-1.0,1.5165565631031068e+18
0,149,0.9381534777472856,1961,2013,0.01,-1.0,-1.0,6.270164864565732e+18
0,40,0.2348490565551019,1961,2013,0.014571559310200427,-0.999990699167058,-0.9925126873463632,0.01564246914653675
0,132,0.7338990039439404,1961,2013,0.07049577254288884,-0.7236590624406664,-0.9999999969211684,0.0696491741157574
0,1,0.5749051253364794,1992,2013,0.9999999761279832,-0.9999999975621868,-0.20959314029975484,0.10998753742642572
0,165,0.2613349637051231,1961,2013,0.1870879469906236,-0.4267178020098177,-0.999999987903603,0.11465861075978212
0,173,0.4941357506634415,1961,2013,0.1699714830140866,-0.9999999922296264,0.2772834301896045,0.0199949160571868
0,95,0.2883611485113957,1961,2013,0.2563249603860791,-0.4384225339034151,-0.9999999700821314,0.04396984260632488
0,153,0.17614649388509207,1990,2013,0.0477211432424992,0.9443871918177692,-0.992054636966026,0.11622513244979188
0,104,0.6078951111830985,1961,2013,0.4802828767262904,-0.9894745395297188,-0.034562507331102776,0.02990717130869945
0,112,0.606301317732513,1961,2013,0.162773388146197,-0.999984803414906,-0.2449027787440977,0.06633090169860414
0,217,0.787463352522577,1986,2013,0.999999895272879,-0.9999999678400594,-0.02217514821587896,0.0618997497332754
0,37,0.014009390805649002,1980,2013,0.03438945577989193,0.9957125431591044,0.9978279932157316,0.024812131137088984
0,60,0.6427053658104925,1961,2013,0.027115570924958438,-0.8983292758127499,-0.9999999935080056,0.040986886159103036
0,169,0.11197527118727246,1961,2013,0.03466398454813019,-0.41750816306301175,0.9999709566585016,0.034630567107175256
0,256,0.13816179907003556,2001,2013,0.04777328377246631,-0.9999322653372172,-0.9170958979847555,0.014019808459080015
0,99,0.050283875254353634,1961,2013,0.044467231473468316,-0.2728675400535068,-0.9999994007089944,0.006791172308827133
0,21,0.2363208421662587,1961,2013,0.010000327316581369,-0.7269855868214762,-0.4069388053617975,0.010352678621145944
