,scenario,f,year,type,land,xi
99,SSP2,0.6,2022,projections,3862413702.49773,0.41543108826123926
100,SSP2,0.8,2022,projections,3918365585.5296955,0.4192986336899271
101,SSP2,0.2,2023,projections,3843768902.910904,0.4140765019692273
102,SSP2,0.4,2023,projections,3863446872.5422306,0.41536958061972096
103,SSP2,0.6,2023,projections,3893437253.8843913,0.4175361202277251
104,SSP2,0.8,2023,projections,3956818766.211323,0.4225158180770013
105,SSP2,0.2,2024,projections,3859596212.6867337,0.4157380729139427
106,SSP2,0.4,2024,projections,3883806567.4337673,0.41744531371626153
107,SSP2,0.6,2024,projections,3923428913.1981354,0.42025731924841925
108,SSP2,0.8,2024,projections,3996498293.6887693,0.4264785054040743
109,SSP2,0.2,2025,projections,3876733443.821003,0.41771967462306553
110,SSP2,0.4,2025,projections,3904027295.2064967,0.41989786476507074
111,SSP2,0.6,2025,projections,3947948560.643437,0.42347525810213316
112,SSP2,0.8,2025,projections,4034062238.5867805,0.4311601869541318
113,SSP2,0.2,2026,projections,3896898183.452455,0.42005971832190675
114,SSP2,0.4,2026,projections,3927450229.4017572,0.42276229742641
115,SSP2,0.6,2026,projections,3975815179.332494,0.4271746914763928
116,SSP2,0.8,2026,projections,4070475023.2778444,0.43648474513829355
117,SSP2,0.2,2027,projections,3890703461.2897496,0.42257023638819696
118,SSP2,0.4,2027,projections,3925220539.7099767,0.4258536536000069
119,SSP2,0.6,2027,projections,3981794826.966151,0.43121388681298334
120,SSP2,0.8,2027,projections,4090359645.8695693,0.4422922692834437
121,SSP2,0.2,2028,projections,3883058071.9185667,0.42491025245415875
122,SSP2,0.4,2028,projections,3921068018.184046,0.42883177370245884
123,SSP2,0.6,2028,projections,3982266627.783811,0.43520852398845067
124,SSP2,0.8,2028,projections,4098606128.088447,0.44813202585067563
125,SSP2,0.2,2029,projections,3875121698.3483586,0.42710360729823743
126,SSP2,0.4,2029,projections,3917508053.8421454,0.43170721179200977
127,SSP2,0.6,2029,projections,3983857663.33265,0.4391495873977298
128,SSP2,0.8,2029,projections,4107270432.9575496,0.45392370629020795
129,SSP2,0.2,2030,projections,3869198665.9971457,0.42914329738257145
130,SSP2,0.4,2030,projections,3917142181.7922716,0.4345016215683901
131,SSP2,0.6,2030,projections,3988689833.2906637,0.4430503619045505
132,SSP2,0.8,2030,projections,4118862944.044804,0.459633315010131
133,SSP2,0.2,2031,projections,3865119254.692238,0.4310664117845938
134,SSP2,0.4,2031,projections,3917650433.64189,0.4372411434028591
135,SSP2,0.6,2031,projections,3995846110.9241076,0.446934837875286
136,SSP2,0.8,2031,projections,4132757271.2889605,0.4652480032577996
137,SSP2,0.2,2032,projections,3862629341.2751727,0.4328996794022411
138,SSP2,0.4,2032,projections,3919936337.5386972,0.43993614207094905
139,SSP2,0.6,2032,projections,4005576696.217724,0.45081585159458654
140,SSP2,0.8,2032,projections,4149169740.9823647,0.4707451418525747
141,SSP2,0.2,2033,projections,3861005697.214636,0.4346490177451389
142,SSP2,0.4,2033,projections,3922256681.374072,0.4425810777408574
143,SSP2,0.6,2033,projections,4015476701.540742,0.4546862126667045
144,SSP2,0.8,2033,projections,4167764235.046672,0.4760976988130757
145,SSP2,0.2,2034,projections,3862948658.8972907,0.43635217113771546
146,SSP2,0.4,2034,projections,3928898907.106569,0.44520296214106525
147,SSP2,0.6,2034,projections,4028999251.6028857,0.4585420755682378
148,SSP2,0.8,2034,projections,4188289072.8807564,0.4812754401867525
149,SSP2,0.2,2035,projections,3866037997.7224007,0.43803839161141706
150,SSP2,0.4,2035,projections,3936717943.67292,0.4478301149696221
151,SSP2,0.6,2035,projections,4042456054.344976,0.4623734449432002
152,SSP2,0.8,2035,projections,4209643937.877475,0.4862315621305928
153,SSP2,0.2,2036,projections,3870858391.034884,0.4397236698379271
154,SSP2,0.4,2036,projections,3946159475.4432583,0.45046655798384777
155,SSP2,0.6,2036,projections,4057006511.571016,0.4661517186108703
156,SSP2,0.8,2036,projections,4231279000.6887403,0.49092261144072163
157,SSP2,0.2,2037,projections,3876133650.487098,0.44142675201999515
158,SSP2,0.4,2037,projections,3956337146.030374,0.45311271812844567
159,SSP2,0.6,2037,projections,4072269421.45965,0.4698541273968767
160,SSP2,0.8,2037,projections,4253966779.2232566,0.4953122341139336
161,SSP2,0.2,2038,projections,3870657973.9564614,0.4430408932400654
162,SSP2,0.4,2038,projections,3958192768.387555,0.45570685845460374
163,SSP2,0.6,2038,projections,4085742518.236805,0.47345401220745803
164,SSP2,0.8,2038,projections,4277196397.4586406,0.4993794223859318
165,SSP2,0.2,2039,projections,3860628081.3365097,0.4444558704832434
166,SSP2,0.4,2039,projections,3957249209.8899956,0.4581334952160437
167,SSP2,0.6,2039,projections,4092190218.515664,0.4768392887116481
168,SSP2,0.8,2039,projections,4298667911.014686,0.5031058775899053
169,SSP2,0.2,2040,projections,3852228088.0305243,0.44565151871514186
170,SSP2,0.4,2040,projections,3954597011.036742,0.4603586827946458
171,SSP2,0.6,2040,projections,4097945645.582402,0.4799712108371249
172,SSP2,0.8,2040,projections,4313739594.154973,0.5064327527185153
173,SSP2,0.2,2041,projections,3843936494.399459,0.4466541242672174
174,SSP2,0.4,2041,projections,3953086255.333208,0.4623889487517433
175,SSP2,0.6,2041,projections,4101487761.8419986,0.4828162956424
176,SSP2,0.8,2041,projections,4329921204.437578,0.5093634403990102
177,SSP2,0.2,2042,projections,3836986125.474136,0.44747692380704396
