,scenario,f,region,year,type,land,xi
172,SSP2,0.2,Europe,2019,projections,499558805.4835575,0.25041596307893443
173,SSP2,0.4,Europe,2019,projections,499944510.1002184,0.25059518995959
174,SSP2,0.6,Europe,2019,projections,499936869.8318086,0.25089555601900065
175,SSP2,0.8,Europe,2019,projections,499635378.5581888,0.2516497064115227
176,SSP2,0.2,Oceania,2019,projections,90453096.72390223,0.14710197462536737
177,SSP2,0.4,Oceania,2019,projections,90489250.81022526,0.147246525726219
178,SSP2,0.6,Oceania,2019,projections,90522285.28269303,0.14748944756182616
179,SSP2,0.8,Oceania,2019,projections,90598236.32591304,0.14810305355362163
180,SSP2,0.2,Africa,2020,projections,797676747.303516,0.3611785889644927
181,SSP2,0.4,Africa,2020,projections,802607553.342922,0.36134524114211014
182,SSP2,0.6,Africa,2020,projections,810953093.5720382,0.36162544256417134
183,SSP2,0.8,Africa,2020,projections,829990449.3921406,0.3623113458003005
184,SSP2,0.2,Americas,2020,projections,887942369.3720305,0.2420518527559383
185,SSP2,0.4,Americas,2020,projections,889477486.8428966,0.24215323130162797
186,SSP2,0.6,Americas,2020,projections,892433592.7502074,0.2423234337423567
187,SSP2,0.8,Americas,2020,projections,900255728.1075479,0.24273874734098733
188,SSP2,0.2,Asia,2020,projections,1490964671.1170988,0.49232932549676156
189,SSP2,0.4,Asia,2020,projections,1494509681.5378036,0.4930516806415148
190,SSP2,0.6,Asia,2020,projections,1500681637.4921346,0.49426560269378067
191,SSP2,0.8,Asia,2020,projections,1514464558.8262491,0.49723349893633084
192,SSP2,0.2,Europe,2020,projections,505330995.2134443,0.2500401259598847
193,SSP2,0.4,Europe,2020,projections,505746556.4885277,0.25031021224363786
194,SSP2,0.6,Europe,2020,projections,506081069.6001711,0.250763972403696
195,SSP2,0.8,Europe,2020,projections,505465845.3892161,0.2518728543548535
196,SSP2,0.2,Oceania,2020,projections,89338671.79984018,0.14992402913386993
197,SSP2,0.4,Oceania,2020,projections,89385105.37182909,0.15014539211532427
198,SSP2,0.6,Oceania,2020,projections,89429258.77544686,0.1505188266504617
199,SSP2,0.8,Oceania,2020,projections,89533289.9463758,0.1514394600125761
200,SSP2,0.2,Africa,2021,projections,812934448.0292805,0.35812248730228197
201,SSP2,0.4,Africa,2021,projections,819209845.5659784,0.35834519278678545
202,SSP2,0.6,Africa,2021,projections,829897308.2395215,0.35872107257721075
203,SSP2,0.8,Africa,2021,projections,853747162.1718737,0.3596205186958746
204,SSP2,0.2,Americas,2021,projections,890677304.0690016,0.2407194562446991
205,SSP2,0.4,Americas,2021,projections,892682938.2496234,0.24086186377867766
206,SSP2,0.6,Americas,2021,projections,896414572.7759212,0.24110176649000745
207,SSP2,0.8,Americas,2021,projections,906138409.3851287,0.24167353874317207
208,SSP2,0.2,Asia,2021,projections,1494675506.9690957,0.4938501458789273
209,SSP2,0.4,Asia,2021,projections,1498888082.3082051,0.49488464393105047
210,SSP2,0.6,Asia,2021,projections,1505939332.302362,0.4966293478534041
211,SSP2,0.8,Asia,2021,projections,1521408430.1606665,0.5007964103481871
212,SSP2,0.2,Europe,2021,projections,511115162.1707567,0.24999264262548718
213,SSP2,0.4,Europe,2021,projections,511530036.6938667,0.25037609171056535
214,SSP2,0.6,Europe,2021,projections,511770337.32377446,0.25102268150387963
215,SSP2,0.8,Europe,2021,projections,511004944.67236435,0.25256684250541017
216,SSP2,0.2,Oceania,2021,projections,88190724.23359941,0.15304215505506846
217,SSP2,0.4,Oceania,2021,projections,88244625.15931542,0.1533622429268449
218,SSP2,0.6,Oceania,2021,projections,88296271.48798516,0.15390508632912023
219,SSP2,0.8,Oceania,2021,projections,88421328.02165985,0.15521709165561795
220,SSP2,0.2,Africa,2022,projections,828521095.6488609,0.35552465931120003
221,SSP2,0.4,Africa,2022,projections,836331522.5039873,0.3558103602902425
222,SSP2,0.6,Africa,2022,projections,849637095.6046525,0.35629228040139566
223,SSP2,0.8,Africa,2022,projections,878596670.9959912,0.35742419661695807
224,SSP2,0.2,Americas,2022,projections,892711300.5952761,0.23957786255274915
225,SSP2,0.4,Americas,2022,projections,895366752.8466578,0.23976890547544583
226,SSP2,0.6,Americas,2022,projections,900226570.157816,0.2400904363633734
227,SSP2,0.8,Americas,2022,projections,912508347.4485765,0.24084209035449572
228,SSP2,0.2,Asia,2022,projections,1496059776.194932,0.49604538628632094
229,SSP2,0.4,Asia,2022,projections,1500641942.9943237,0.4974602278354284
230,SSP2,0.6,Asia,2022,projections,1508021500.707348,0.4998441503409988
231,SSP2,0.8,Asia,2022,projections,1523710405.1267023,0.5054275344119974
232,SSP2,0.2,Europe,2022,projections,516914420.160616,0.25026978196609295
233,SSP2,0.4,Europe,2022,projections,517294959.9552577,0.25079022192660716
234,SSP2,0.6,Europe,2022,projections,517385770.87709695,0.2516672592391089
235,SSP2,0.8,Europe,2022,projections,516259002.596263,0.25372285484000817
236,SSP2,0.2,Oceania,2022,projections,87022264.8384079,0.15645856841241798
237,SSP2,0.4,Oceania,2022,projections,87083288.19380684,0.1569019698786543
238,SSP2,0.6,Oceania,2022,projections,87142765.15081725,0.15765480256430944
239,SSP2,0.8,Oceania,2022,projections,87291159.3621632,0.1594466404670439
240,SSP2,0.2,Africa,2023,projections,842941037.9987273,0.3532980067882677
241,SSP2,0.4,Africa,2023,projections,853989558.736632,0.3536551845588448
242,SSP2,0.6,Africa,2023,projections,870178200.3381085,0.35425455017027585
243,SSP2,0.8,Africa,2023,projections,904467553.900312,0.3556376354434265
244,SSP2,0.2,Americas,2023,projections,893727507.7531369,0.2386157749482983
245,SSP2,0.4,Americas,2023,projections,896941253.5033051,0.23886434492804956
246,SSP2,0.6,Americas,2023,projections,903015958.3850747,0.23928040613638835
247,SSP2,0.8,Americas,2023,projections,917944323.2553726,0.24023547457868236
248,SSP2,0.2,Asia,2023,projections,1498502561.0090027,0.49886476632999555
249,SSP2,0.4,Asia,2023,projections,1503548479.3657074,0.5007401446587759
250,SSP2,0.6,Asia,2023,projections,1511329720.7251294,0.5038819923895158
251,SSP2,0.8,Asia,2023,projections,1527022410.4349864,0.5111010903248326
252,SSP2,0.2,Europe,2023,projections,522765014.0135669,0.25085499470399136
253,SSP2,0.4,Europe,2023,projections,523067186.91446775,0.251540592545239
254,SSP2,0.6,Europe,2023,projections,522945313.76793355,0.2526900082087376
255,SSP2,0.8,Europe,2023,projections,521241905.88068837,0.25533694830273923
256,SSP2,0.2,Oceania,2023,projections,85832782.1364709,0.16016355777627383
257,SSP2,0.4,Oceania,2023,projections,85900394.02211818,0.16076069046911468
258,SSP2,0.6,Oceania,2023,projections,85968060.66814458,0.16177126674956552
259,SSP2,0.8,Oceania,2023,projections,86142572.73996447,0.16414278974358484
260,SSP2,0.2,Africa,2024,projections,852509595.407618,0.3513610949548406
261,SSP2,0.4,Africa,2024,projections,866600655.7569549,0.3518101681229858
262,SSP2,0.6,Africa,2024,projections,890184714.549142,0.35255153544514256
263,SSP2,0.8,Africa,2024,projections,931015513.0138057,0.3542013861435488
264,SSP2,0.2,Americas,2024,projections,890173122.4787121,0.23781367728714378
265,SSP2,0.4,Americas,2024,projections,894993367.1021109,0.23813757492759055
266,SSP2,0.6,Americas,2024,projections,903848762.1598145,0.23867079922645212
267,SSP2,0.8,Americas,2024,projections,923371998.6435523,0.23985079177087834
268,SSP2,0.2,Asia,2024,projections,1503536965.933805,0.5021994308853684
269,SSP2,0.4,Asia,2024,projections,1508729643.748442,0.504685401466029
270,SSP2,0.6,Asia,2024,projections,1516465952.4380097,0.5087791808880281
271,SSP2,0.8,Asia,2024,projections,1531782635.924455,0.5178307335404463
272,SSP2,0.2,Europe,2024,projections,528758104.4155182,0.2517058905129382
273,SSP2,0.4,Europe,2024,projections,528792595.1346335,0.2526107378208868
274,SSP2,0.6,Europe,2024,projections,528164656.29030514,0.25410336673325395
275,SSP2,0.8,Europe,2024,projections,525358985.95915157,0.25741918677637476
276,SSP2,0.2,Oceania,2024,projections,84618424.45108125,0.16412934942466645
277,SSP2,0.4,Oceania,2024,projections,84690305.69162576,0.1649358727697235
278,SSP2,0.6,Oceania,2024,projections,84764827.76086384,0.16628187874035022
279,SSP2,0.8,Oceania,2024,projections,84969160.14780588,0.1693393034985084
280,SSP2,0.2,Africa,2025,projections,861779119.0836855,0.3496529298593145
281,SSP2,0.4,Africa,2025,projections,878342253.9494231,0.35020135726251944
282,SSP2,0.6,Africa,2025,projections,905809080.9598776,0.3511051675829597
283,SSP2,0.8,Africa,2025,projections,957924972.0100734,0.35306382421916715
284,SSP2,0.2,Americas,2025,projections,885387700.4939141,0.23715567920815847
285,SSP2,0.4,Americas,2025,projections,890951568.1151386,0.23756418549455321
286,SSP2,0.6,Americas,2025,projections,901098018.4321454,0.23823541862262038
287,SSP2,0.8,Americas,2025,projections,924645132.7800189,0.23968159537956693
288,SSP2,0.2,Asia,2025,projections,1511773856.2315042,0.505965973644204
289,SSP2,0.4,Asia,2025,projections,1517078037.8066676,0.5091490794535729
290,SSP2,0.6,Asia,2025,projections,1524416110.8804266,0.5143749077505723
291,SSP2,0.8,Asia,2025,projections,1538480805.151709,0.5255895841884194
292,SSP2,0.2,Europe,2025,projections,534402675.31629753,0.252792386299136
